Timestamp,Threat Type,Severity,Description
2025-11-25T10:30:53.175197,SQL Injection,High,Pattern matched: (?i)(?:')|(?:--)|(/\*(?:.|[\n\r])*?\*/)|(select|insert|delete|update|drop|union|exec)
2025-11-22T23:03:06.077459,SQL Injection,High,Pattern matched: (?i)(?:')|(?:--)|(/\*(?:.|[\n\r])*?\*/)|(select|insert|delete|update|drop|union|exec)
2025-11-22T22:51:52.723833,SQL Injection,High,Pattern matched: (?i)(?:')|(?:--)|(/\*(?:.|[\n\r])*?\*/)|(select|insert|delete|update|drop|union|exec)
2025-11-22T22:49:15.333898,SQL Injection,High,Pattern matched: (?i)(?:')|(?:--)|(/\*(?:.|[\n\r])*?\*/)|(select|insert|delete|update|drop|union|exec)
2025-11-22T22:46:29.566664,SQL Injection,High,Pattern matched: (?i)(?:')|(?:--)|(/\*(?:.|[\n\r])*?\*/)|(select|insert|delete|update|drop|union|exec)
